Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
1276,MKNK2,0.111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.258834189,2.539960328,0,-0.920950334,0.0,0,ENSG00000099875
1277,ARVCF,0.177777778,0.088888889,0.088888889,0.0,0.0,0.0,0.0,0.731531333,-0.239753503,0,-0.242244029,0.333333333,11,ENSG00000099889
1278,ZDHHC8,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.123171499,-0.239753503,0,-0.242244029,1.0,1,ENSG00000099904
1279,KLHL22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.084198567,-0.239753503,0,-0.242244029,1.0,14,ENSG00000099910
1280,MED15,0.0,0.0,0.196721311,0.06557377,0.0,0.0,0.0,0.021721521,-0.239753503,0,1.793874888,1.0,27,ENSG00000099917
1281,SERPIND1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.038905307,-0.239753503,0,0.436462277,1.0,0,ENSG00000099937
1282,SNAP29,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.074720179,-0.239753503,0,-0.920950334,0.0,0,ENSG00000099940
1283,MMP11,0.019230769,0.0,0.019230769,0.057692308,0.0,0.0,0.0,0.428885588,-0.239753503,0,0.436462277,0.5,13,ENSG00000099953
1284,CECR2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.416382943,-0.239753503,0,0.436462277,1.0,12,ENSG00000099954
1285,SLC7A4,0.0,0.0,0.181818182,0.0,0.0,0.0,0.0,-0.825012704,-0.239753503,0,-0.242244029,1.0,1,ENSG00000099960
1286,BCL2L13,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.065498636,-0.239753503,0,-0.242244029,0.0,7,ENSG00000099968
1287,CABIN1,0.461538462,0.0,0.307692308,0.0,0.0,0.0,0.0,0.006074234,-0.239753503,0,-0.242244029,0.4,13,ENSG00000099991
1288,TBC1D10A,0.0,0.0,0.689655172,0.0,0.0,0.0,0.0,-0.217675621,-0.239753503,0,0.436462277,1.0,4,ENSG00000099992
1289,SUSD2,0.125,0.0,0.375,0.0,0.0,0.0,0.0,-0.114385724,-0.239753503,0,0.436462277,0.75,1,ENSG00000099994
1290,SF3A1,0.133333333,0.0,0.066666667,0.0,0.0,0.0,0.0,-0.096871432,-0.239753503,0,-0.242244029,0.333333333,52,ENSG00000099995
1291,GGT5,0.0,0.0,0.916666667,0.0,0.0,0.0,0.0,0.389238293,-0.239753503,0,1.115168582,1.0,1,ENSG00000099998
1292,RNF215,0.0,0.0,0.19047619,0.0,0.0,0.0,0.0,0.34605775,-0.239753503,0,0.436462277,1.0,0,ENSG00000099999
1293,SPECC1L,0.413793103,0.0,0.275862069,0.0,0.0,0.0,0.0,0.280423648,-0.239753503,0,0.436462277,0.4,23,ENSG00000100014
1294,PPIL2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.273881432,-0.239753503,0,-0.920950334,0.0,0,ENSG00000100023
1295,PES1,0.0,0.0,0.578947368,0.0,0.0,0.0,0.0,0.423119568,-0.239753503,0,0.436462277,1.0,23,ENSG00000100029
1296,MAPK1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.159711012,8.099387989,1,-0.242244029,1.0,83,ENSG00000100030
1297,SLC35E4,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,-0.067152328,-0.239753503,0,-0.242244029,1.0,0,ENSG00000100036
1298,TOP3B,0.0,0.0,0.307692308,0.0,0.0,0.0,0.0,0.024132709,-0.239753503,0,-0.242244029,1.0,31,ENSG00000100038
1299,CRYBB3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.104549299,-0.239753503,0,-0.242244029,1.0,18,ENSG00000100053
1300,CYTH4,0.0,0.0,0.434782609,0.0,0.0,0.0,0.0,0.027750969,-0.239753503,0,0.436462277,1.0,8,ENSG00000100055
